SSID;BSSID
Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
FreeWifi;68:a3:78:ad:9e:51
Freebox-52F5C0;68:a3:78:ad:9e:50
FreeWifi_secure;68:a3:78:ad:9e:52
Chezjul;f4:ca:e5:dd:79:18
Freeclh13;4e:28:e3:82:8e:c8
Bbox-41AA8A4E;64:7c:34:d0:e4:cc
Coloc-Soupe;6c:38:a1:5a:dd:78
NUMERICABLE-A288;c0:d9:62:31:f7:89
FreeWifi;f4:ca:e5:dd:79:19
freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
FreeWifi;92:25:72:72:89:f9
freebox_HUGUTI;92:25:72:72:89:f8
orange;9a:26:6c:43:da:e4
SFR-31d0;f4:6b:ef:65:31:d6
Bbox-109AD9;00:1f:9f:bd:e3:5d
FreeWifi_secure;f4:ca:e5:dd:79:1a
SFR-2017;44:e9:dd:ed:d8:3e
FreeWifi_secure;f4:ca:e5:d2:f2:0e
FreeWifi;f4:ca:e5:d2:f2:0d
Freebox-4D4941;f4:ca:e5:d2:f2:0c
Livebox-8EEA;a0:1b:29:a7:8e:ea
orange;12:7c:b2:14:54:e3
Livebox-54E3;30:7c:b2:14:54:e3
Bbox-10C10234;3c:81:d8:75:65:90
Bbox-C974D670;f8:ab:05:06:45:a0
Livebox-rollin's;2c:39:96:49:d3:c6
SFR-5b10;a4:08:f5:c9:5b:16
Bbox-F92A10;00:1f:9f:bf:09:69
Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
SFR-5b10_5GHz;a4:08:f5:c9:5b:17
Bbox-C974D670-5GHz;00:26:86:1e:38:5eSSID;BSSID
Freebox-52F5C0;68:a3:78:ad:9e:50
FreeWifi_secure;68:a3:78:ad:9e:52
Chezjul;f4:ca:e5:dd:79:18
Freeclh13;4e:28:e3:82:8e:c8
Bbox-41AA8A4E;64:7c:34:d0:e4:cc
Coloc-Soupe;6c:38:a1:5a:dd:78
NUMERICABLE-A288;c0:d9:62:31:f7:89
FreeWifi;f4:ca:e5:dd:79:19
freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
Bbox-10C10234;3c:81:d8:75:65:90
orange;12:7c:b2:14:54:e3
Livebox-8EEA;a0:1b:29:a7:8e:ea
FreeWifi;f4:ca:e5:d2:f2:0d
FreeWifi_secure;f4:ca:e5:d2:f2:0e
FreeWifi_secure;f4:ca:e5:dd:79:1a
SFR-31d0;f4:6b:ef:65:31:d6
orange;9a:26:6c:43:da:e4
freebox_HUGUTI;92:25:72:72:89:f8
FreeWifi;92:25:72:72:89:f9
FreeWifi_secure;00:24:d4:95:61:d1
FreeWifi_secure;68:a3:78:63:40:a6
Livebox-2612;b4:a5:ef:9d:26:12
Bbox-109AD9;00:1f:9f:bd:e3:5d
SFR-2017;44:e9:dd:ed:d8:3e
Freebox-4D4941;f4:ca:e5:d2:f2:0c
FreeWifi;68:a3:78:ad:9e:51
Livebox-54E3;30:7c:b2:14:54:e3
orange;c2:1b:29:a7:8e:ea
Livebox-rollin's;2c:39:96:49:d3:c6
SFR-5b10;a4:08:f5:c9:5b:16
Bbox-C974D670;f8:ab:05:06:45:a0
Bbox-F92A10;00:1f:9f:bf:09:69
orange;42:78:9e:94:87:f2
Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
SFR-5b10_5GHz;a4:08:f5:c9:5b:17
Bbox-C974D670-5GHz;00:26:86:1e:38:5eSSID;BSSID
Bbox-41AA8A4E;64:7c:34:d0:e4:cc
Coloc-Soupe;6c:38:a1:5a:dd:78
NUMERICABLE-A288;c0:d9:62:31:f7:89
FreeWifi;f4:ca:e5:dd:79:19
freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
Bbox-10C10234;3c:81:d8:75:65:90
Livebox-8EEA;a0:1b:29:a7:8e:ea
FreeWifi;f4:ca:e5:d2:f2:0d
FreeWifi_secure;f4:ca:e5:dd:79:1a
SFR-31d0;f4:6b:ef:65:31:d6
orange;9a:26:6c:43:da:e4
freebox_HUGUTI;92:25:72:72:89:f8
FreeWifi;92:25:72:72:89:f9
Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
orange;42:78:9e:94:87:f2
Bbox-C974D670;f8:ab:05:06:45:a0
orange;c2:1b:29:a7:8e:ea
FreeWifi;68:a3:78:ad:9e:51
Freebox-4D4941;f4:ca:e5:d2:f2:0c
Livebox-2612;b4:a5:ef:9d:26:12
FreeWifi_secure;68:a3:78:63:40:a6
Livebox-933A;00:37:b7:95:93:3b
FreeWifi_secure;00:24:d4:95:61:d1
FreeWifi;00:24:d4:95:61:d0
Freebox-9561CE;00:24:d4:95:61:cf
Bbox-668989C1;64:7c:34:c1:67:fc
Bbox-109AD9;00:1f:9f:bd:e3:5d
SFR-2017;44:e9:dd:ed:d8:3e
FreeWifi_secure;f4:ca:e5:d2:f2:0e
Freebox-52F5C0;68:a3:78:ad:9e:50
orange;12:7c:b2:14:54:e3
Livebox-54E3;30:7c:b2:14:54:e3
Bbox-F92A10;00:1f:9f:bf:09:69
Livebox-rollin's;2c:39:96:49:d3:c6
SFR-5b10;a4:08:f5:c9:5b:16
Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
SFR-5b10_5GHz;a4:08:f5:c9:5b:17
Bbox-C974D670-5GHz;00:26:86:1e:38:5eSSID;BSSID
Bbox-10C10234-5GHz;3c:81:d8:75:65:94
Bbox-10C10234;3c:81:d8:75:65:90
FreeWifi;f4:ca:e5:d2:f2:0d
FreeWifi_secure;f4:ca:e5:dd:79:1a
SFR-31d0;f4:6b:ef:65:31:d6
orange;9a:26:6c:43:da:e4
